EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:00:04	0.1000	0.5975	0.2841	0.9091	0.9091	0.9091	0.9091
2	09:04:14	0.1000	0.4267	0.2505	0.9203	0.9203	0.9203	0.9203
3	09:08:27	0.1000	0.3910	0.2347	0.9271	0.9271	0.9271	0.9271
4	09:12:40	0.1000	0.3742	0.2264	0.9287	0.9287	0.9287	0.9287
5	09:16:49	0.1000	0.3632	0.2207	0.9298	0.9298	0.9298	0.9298
6	09:21:02	0.1000	0.3542	0.2153	0.9324	0.9324	0.9324	0.9324
7	09:25:13	0.1000	0.3481	0.2151	0.9315	0.9315	0.9315	0.9315
8	09:29:28	0.1000	0.3437	0.2085	0.9355	0.9355	0.9355	0.9355
9	09:33:41	0.1000	0.3394	0.2088	0.9350	0.9350	0.9350	0.9350
10	09:37:59	0.1000	0.3370	0.2071	0.9358	0.9358	0.9358	0.9358
