EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	05:28:41	0.1000	0.6415	0.2948	0.9064	0.9064	0.9064	0.9064
2	05:30:14	0.1000	0.4328	0.2527	0.9192	0.9192	0.9192	0.9192
3	05:31:48	0.1000	0.3929	0.2366	0.9263	0.9263	0.9263	0.9263
4	05:33:24	0.1000	0.3696	0.2170	0.9327	0.9327	0.9327	0.9327
5	05:35:02	0.1000	0.3533	0.2065	0.9368	0.9368	0.9368	0.9368
6	05:36:35	0.1000	0.3398	0.2015	0.9375	0.9375	0.9375	0.9375
7	05:38:09	0.1000	0.3287	0.1976	0.9395	0.9395	0.9395	0.9395
8	05:39:43	0.1000	0.3210	0.1891	0.9421	0.9421	0.9421	0.9421
9	05:41:17	0.1000	0.3139	0.1871	0.9417	0.9417	0.9417	0.9417
10	05:42:55	0.1000	0.3081	0.1850	0.9433	0.9433	0.9433	0.9433
