EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:22:03	0.1000	0.5680	0.2606	0.9192	0.9192	0.9192	0.9192
2	09:23:44	0.1000	0.4059	0.2300	0.9290	0.9290	0.9290	0.9290
3	09:25:25	0.1000	0.3743	0.2125	0.9349	0.9349	0.9349	0.9349
4	09:27:07	0.1000	0.3561	0.2079	0.9365	0.9365	0.9365	0.9365
5	09:28:48	0.1000	0.3486	0.1998	0.9399	0.9399	0.9399	0.9399
6	09:30:31	0.1000	0.3398	0.1990	0.9408	0.9408	0.9408	0.9408
7	09:32:09	0.1000	0.3342	0.1952	0.9410	0.9410	0.9410	0.9410
8	09:33:55	0.1000	0.3295	0.1918	0.9416	0.9416	0.9416	0.9416
9	09:35:34	0.1000	0.3252	0.1910	0.9417	0.9417	0.9417	0.9417
10	09:37:15	0.1000	0.3221	0.1960	0.9418	0.9418	0.9418	0.9418
